../../../../test_data/paper_data/magob/magob039.txt
r_init, x_init, r_fit, x_fit, r_sq, adj_r_sq, mse, rmse, mae
[1e-08, 1e-08, 1e-08, 1e-08, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 5.264105263157895e-05, 1e-08, 5.264105263157895e-05, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0001052721052631579, 1e-08, 0.0001052721052631579, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.00015790315789473685, 1e-08, 0.00015790315789473685, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0002105342105263158, 1e-08, 0.0002105342105263158, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0002631652631578947, 1e-08, 0.0002631652631578947, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0003157963157894737, 1e-08, 0.0003157963157894737, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0003684273684210527, 1e-08, 0.0003684273684210527, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0004210584210526316, 1e-08, 0.0004210584210526316, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0004736894736842105, 1e-08, 0.0004736894736842105, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0005263205263157895, 1e-08, 0.0005263205263157895, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0005789515789473685, 1e-08, 0.0005789515789473685, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0006315826315789475, 1e-08, 0.0006315826315789475, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0006842136842105264, 1e-08, 0.0006842136842105264, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0007368447368421054, 1e-08, 0.0007368447368421054, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0007894757894736843, 1e-08, 0.0007894757894736843, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0008421068421052633, 1e-08, 0.0008421068421052633, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0008947378947368422, 1e-08, 0.0008947378947368422, -325.88278001481643, -325.9858813489955, 0.03940927962434327, 0.19851770607264047, 0.1982138207393198]
[1e-08, 0.0009473689473684211, 0.0017696402151506753, 3.961400318753817e-07, 0.9947074475352105, 0.9947057782235987, 6.380748475093821e-07, 0.0007987958734929607, 0.0004891486908067381]
[1e-08, 0.001, 0.0017893850158675411, 3.796813128581822e-07, 0.9957298298365939, 0.995728482992196, 5.148155250196192e-07, 0.0007175064633991942, 0.0004658036089974099]
[5.272631578947369e-06, 1e-08, 0.0017653244574990152, 3.9995146755743403e-07, 0.9944297186485156, 0.9944279617390844, 6.715580898968252e-07, 0.0008194864793862223, 0.0004972816530350703]
[5.272631578947369e-06, 5.264105263157895e-05, 0.0017802680346791994, 3.870824198891446e-07, 0.9953046628945171, 0.9953031819492071, 5.660740309175707e-07, 0.000752378914455722, 0.0004740464664836129]
[5.272631578947369e-06, 0.0001052721052631579, 0.0018049718299362279, 3.672821156127366e-07, 0.9962816264137758, 0.9962804536102476, 4.4829043732630594e-07, 0.0006695449479507002, 0.0004556583922001651]
[5.272631578947369e-06, 0.00015790315789473685, 0.0017813274402258934, 3.8624579119245757e-07, 0.9953577072699091, 0.9953562430552017, 5.59678953690723e-07, 0.0007481169385134405, 0.0004730603867074547]
[5.272631578947369e-06, 0.0002105342105263158, 0.0018047007768703198, 3.674934874115348e-07, 0.9962739433465523, 0.9962727681197258, 4.4921671476609454e-07, 0.0006702363126286836, 0.0004557921029638226]
[5.272631578947369e-06, 0.0002631652631578947, 0.0017928409404910602, 3.7688059518498904e-07, 0.9958717432463416, 0.9958704411625209, 4.977063177161957e-07, 0.0007054830385744194, 0.0004630647267257301]
[5.272631578947369e-06, 0.0003157963157894737, 0.0017675857111734612, 3.9799830699911897e-07, 0.9945745874495756, 0.9945728762328746, 6.54092577979808e-07, 0.0008087599013179424, 0.0004933389906211799]
[5.272631578947369e-06, 0.0003684273684210527, 0.0017666982178887961, 3.987634949830696e-07, 0.9945182990833583, 0.9945165701128752, 6.608787536350529e-07, 0.0008129444960358935, 0.0004948868382572103]
